# version=1
# source_sha256=d517169e57f1d6254682c03dec5c254b5101ccd787d191f639b0cac1e8a616c4
# destination_sha256=f5e133e8eca8eb1a02e21a7d1afbb44d082e384a38d39db58a694371fa583bbe
# rows=1280
source_address	destination_address	function_name	evidence	review_flags	similarity	confidence	association_votes	source_length	destination_length	source_callers	destination_callers	source_callees	destination_callees	correlator	audit_comment
004098c0	004429a7	fail	WC1-manual-verified		1.0	1.0	0	15	15	ship_intelligence@0040ae80	ship_intelligence@00444adc	reset_objective@00422c70	reset_objective@0042a52a	Manual Match	[WC1 transfer] Exact reset-objective wrapper and matching ship-AI callers prove WC1 0x4098C0 -> WC2 0x4429A7 (fail).
004098d0	004429c0	coming_home	WC1-manual-verified				0	124	383	run_away@004099c0|ship_intelligence@0040ae80	run_away@00442b78|ship_intelligence@00444adc	cruise_home@00409760|distance_from_object@00419260|remove_object@00419bd0|reset_tactic@00422cd0|approach_cruise_speed@00422e50|approach_ship_speed@00422ea0|find_ship_index@00422710|find_objective@00424a60|get_first_follow_point@00423930|point_ship_behind_object@004196e0|fail@004098c0	cruise_home@00442770|distance_from_object@0040b85c|remove_object@0040c2c9|reset_tactic@0042a594|approach_cruise_speed@0042a754|approach_ship_speed@0042a7af|find_ship_index@00429e24|find_objective@00424a60|get_first_follow_point@0042b524|point_ship_behind_object@0040bdc2|fail@004429a7	Manual Match	[WC1 transfer] Mission/tactic dispatcher, expanded WC2 carrier-approach path, and exact caller position prove WC1 0x4098D0 -> WC2 0x4429C0 (coming_home).
0042c580	00401000	LoadWingCmdrCfgFile	WC1-fuzzy-followup		0.42	0.782	0	223	274	main@004274e0	GameFlow@0046591a	_fclose@004492e0|_fscanf@00449440|_fopen@00449600|FUN_0044d820@0044d820	_strchr@0046e0f0|FUN_0046e1b0@0046e1b0|_fclose@0046e2a0|_fscanf@0046e400|_fopen@0046e5c0	Manual Match	[WC1 transfer] WC1-fuzzy-followup from LoadWingCmdrCfgFile @0042c580; structural=0.4196, composite=0.7816, graph=3/0, candidates=1
0042c800	00401120	show_damage_disp	WC1-fuzzy-followup		0.504	0.804	0	355	449	update_VDUs@00417b70	update_VDUs@0043f2f5	set_new_vdu@00414910|ShowComponentHitHudMessage@00414b70|DrawTextAt@0041d5f0|DrawSpriteDefault@00441400|DrawViewportLine@00441ba0|_sprintf@00449bb0	DrawTextAt@0040f96e|DrawSpriteDefault@004266e7|DrawFilledViewportRect@0042722e|set_new_vdu@004393e1|ShowComponentHitHudMessage@0043984f|_sprintf@0046e5f0	Manual Match	[WC1 transfer] WC1-fuzzy-followup from show_damage_disp @0042c800; structural=0.5036, composite=0.8036, graph=2/0, candidates=1
0042c970	004012e1	DrawTbl0059bff0FnC970	WC1-fuzzy-very-low		0.383	0.613	0	1061	1335	update_VDUs@00417b70	update_VDUs@0043f2f5	DebugNoBodyStub@004149c0|DrawTextAt@0041d5f0|DrawSpriteDefault@00441400|LoopLocalFn1450@00441450|LoopUiFn1740@00441740|DrawViewportLine@00441ba0|_sprintf@00449bb0	DrawTextAt@0040f96e|DrawSpriteDefault@004266e7|LoopLocalFn1450@00426769|LoopUiFn1740@00426b96|DrawFilledViewportRect@0042722e|DebugNoBodyStub@00439500|_sprintf@0046e5f0	Manual Match	[WC1 transfer] WC1-fuzzy-very-low from DrawTbl0059bff0FnC970 @0042c970; structural=0.3831, composite=0.6131, graph=1/0, candidates=1
004319b0	00401978	PrintPaletteAllocationMap	WC1-fuzzy-medium		0.778	1.028	0	84	150			_printf@0044d390	_printf@0046e6e0	Manual Match	[WC1 transfer] Fuzzy structural match from WC1 004319b0; structural=0.7776, composite=1.0276, graphSupport=1, graphConflicts=0, targetCollisions=1, confidence=medium. Verify manually.
00452490	00401c72	__cropzeros	WC1-fuzzy-medium	WC1-review-module-mismatch	0.731	0.921	0	223	253		FUN_00401d79@00401d79			Manual Match	[WC1 transfer] Fuzzy structural match from WC1 00452490; structural=0.7311, composite=0.9211, graphSupport=0, graphConflicts=0, targetCollisions=1, confidence=medium. Verify manually.
00439150	004021a7	DrawBriefingCharacter	WC1-fuzzy-very-low		0.444	0.464	0	205	177	CloseLook@00405de0|EstablishingShot@00437770|DrawBriefingLongShot@004378d0|ReturnToBriefingLongShot@00437980		DrawSpriteScaled@00441fc0	FUN_00401c1a@00401c1a|FUN_0046417a@0046417a	Manual Match	[WC1 transfer] WC1-fuzzy-very-low from DrawBriefingCharacter @00439150; structural=0.4443, composite=0.4643, graph=0/0, candidates=1
00439c3e	0040243c	CopyRasterDriverName	WC1-fuzzy-high		0.898	1.088	0	43	41					Manual Match	[WC1 transfer] Fuzzy structural match from WC1 00439c3e; structural=0.8976, composite=1.0876, graphSupport=0, graphConflicts=0, targetCollisions=1, confidence=high. Verify manually.
00439c69	00402465	InstallRasterDriverCallbacks	WC1-fuzzy-high		1.0	1.19	0	31	31					Manual Match	[WC1 transfer] Fuzzy structural match from WC1 00439c69; structural=1.0, composite=1.19, graphSupport=0, graphConflicts=0, targetCollisions=1, confidence=high. Verify manually.
