source_file	source_line	wc1_address	wc2_address	source_name	mapping_name	evidence	review_flags	status
src/auto.c	12	00403E50	004228B0	visit_the_cinema	visit_the_cinema	WC1-fuzzy-very-low		mapped
src/auto.c	39	00403EE0	00422953	player_wingman	player_wingman	WC1-callgraph-propagated		mapped
src/auto.c	47	00403F10	00422990	set_speed	set_speed	WC1-callgraph-single-low		mapped
src/auto.c	54	00403F40	004229B9	auto_position	auto_position	WC1-callgraph-propagated		mapped
src/auto.c	104	00404050	00422B1C	auto_pilot_sequence	auto_pilot_sequence	WC1-callgraph-propagated		mapped
src/barracks.c	10	0041BBD0	0046138D	DrawUnreferencedPilotHandFrame	SceneRoutine02	WC1-callgraph-propagated		mapped
src/barracks.c	38	0041C090	00418DAA	RunCampaignSelectionFrame	RunCampaignSelectionFrame	WC1-callgraph-propagated		mapped
src/barracks.c	79	0041C170	00419831	BarracksScreen	BarracksScreen	WC1-callgraph-propagated		mapped
src/barracks.c	128	0041C510	004225A0	StepPaletteTransition	StepPaletteTransition	WC1-fuzzy-very-low		mapped
src/barracks.c	205	0041C740	00446910	DosStrcat	DosStrcat	WC1-callgraph-propagated		mapped
src/brains.c	15		00440490	HandleUnsupportedManeuver	HandleUnsupportedManeuver	WC2-only		wc2-only
src/brains.c	23		004404CC	BeginShipCloak	BeginShipCloak	WC2-only		wc2-only
src/brains.c	36		00440549	ResetShipCloakState	ResetShipCloakState	WC2-only		wc2-only
src/brains.c	43	004060A0	00440606	SetShipAiScratchWord	HelperOf4075D0A	WC1-callgraph-single		mapped
src/brains.c	49	004060B0	0044061B	maneuver_complete	maneuver_complete	WC1-fuzzy-low		mapped
src/brains.c	56	004060D0	00440642	Mline_up_drop	Mline_up_drop	WC1-fuzzy-low		mapped
src/brains.c	72	00406130	004406BA	Mwabble	ShipAiState13	WC1-fuzzy-followup		mapped
src/brains.c	97	004061E0	004407B0	advance	advance	WC1-order-exact		mapped
src/brains.c	104	00406200	004407DA	ShipAiState35	ShipAiState35	WC1-order-exact		mapped
src/brains.c	111	00406310	004407F7	Mfull_ahead	Mfull_ahead	WC1-order-exact		mapped
src/brains.c	118	00406350	00440814	Mchill	Mchill	WC1-order-exact		mapped
src/brains.c	125	004063B0	00440831	Mdrop_a_mine	Mdrop_a_mine	WC1-order-exact		mapped
src/brains.c	132	00406400	0044084E	Mthink	Mthink	WC1-order-exact		mapped
src/brains.c	139	00406440	0044086B	Mtight_loop	Mtight_loop	WC1-fuzzy-very-low		mapped
src/brains.c	167	004064F0	00440967	Mhard_break	Mhard_break	WC1-fuzzy-followup		mapped
src/brains.c	195	004065A0	00440A93	Msit_n_spin	Msit_n_spin	WC1-fuzzy-followup		mapped
src/brains.c	260	004067A0	00440D0B	Mturn_n_spin	Mturn_n_spin	WC1-fuzzy-followup		mapped
src/brains.c	292	00406860	00440E46	Mburnout	ShipAiState12	WC1-callgraph-propagated		mapped
src/brains.c	314	004068D0	00440F01	Mkickit	Mkickit	WC1-manual-verified		mapped
src/brains.c	330	00406910	00440F76	Mturn_n_kick	Mturn_n_kick	WC1-order-exact		mapped
src/brains.c	366	00406990	004410C0	Mroll_over	Mroll_over	WC1-manual-verified		mapped
src/brains.c	380	004069F0	00441146	Mhard_turn	Mhard_turn	WC1-callgraph-propagated		mapped
src/brains.c	397	00406A50	004411E1	Mfish_hook	Mfish_hook	WC1-fuzzy-followup		mapped
src/brains.c	439	00406B60	00441379	Mtry2tail	Mtry2tail	WC1-order-exact		mapped
src/brains.c	459	00406BD0	0044145A	Msplit_left	Msplit_left	WC1-order-exact		mapped
src/brains.c	480	00406C20	0044151B	Msplit_right	Msplit_right	WC1-order-exact		mapped
src/brains.c	501	00406C70	004415DC	Mgloat	ShipAiState25	WC1-fuzzy-followup		mapped
src/brains.c	526	00406D20	004416D5	Mtail_fire	Mtail_fire	WC1-manual-verified		mapped
src/brains.c	537	00406D80	00441742	Mzip_past	Mzip_past	WC1-manual-verified		mapped
src/brains.c	561		00441837	ShipAiState47	ShipAiState47	WC2-only		wc2-only
src/brains.c	575		00441895	ShipAiState28	ShipAiState28	WC2-only		wc2-only
src/brains.c	583		004418B2	ShipAiState46	ShipAiState46	WC2-only		wc2-only
src/brains.c	608	00406E10	00441C01	Mtarget_missile	Mtarget_missile	WC1-callgraph-propagated		mapped
src/brains.c	636	00406EC0	0044199B	Mram_missile	Mram_missile	WC1-fuzzy-low		mapped
src/brains.c	649	00406F20	00441A13	Mbuzz_debris	Mbuzz_debris	WC1-fuzzy-followup		mapped
src/brains.c	676	00406FB0	00441AFC	Mstrafe_enemy	Mstrafe_enemy	WC1-order-exact		mapped
src/brains.c	694	00407030	00441BC1	Mbest_strafe	Mbest_strafe	WC1-fuzzy-very-low		mapped
src/brains.c	704	00407060	00441D00	Msit_n_fire	Msit_n_fire	WC1-fuzzy-very-low		mapped
src/brains.c	716	004070D0	00441D71	Mstrafe_n_roll	Mstrafe_n_roll	WC1-fuzzy-very-low		mapped
src/brains.c	726	00407100	00441DB3	Mkill_missile	Mkill_missile	WC1-fuzzy-very-low		mapped
src/brains.c	749	004071B0	00441E9C	Msuicide_run	Msuicide_run	WC1-order-exact		mapped
src/brains.c	756	004071E0	00441EC8	Mget_distance	Mget_distance	WC1-fuzzy-low		mapped
