source_file	source_name	mapping_name	wc1_address	wc2_address	evidence	review_flags	binary_similarity	similarity_band
src/cockpt.c	vid_transmit	vid_transmit	00417910	0043ECD9	WC1-fuzzy-followup		43.81	lt50
src/cockpt.c	hidden_objective	hidden_objective	004151F0	0043A474	WC1-callgraph-propagated		47.83	lt50
src/brains.c	strike_mission	strike_mission	0040AAC0	00444420	WC1-order-exact		47.93	lt50
src/screen.c	PrintPaletteAllocationMap	PrintPaletteAllocationMap	004319B0	00401978	WC1-fuzzy-medium		48.84	lt50
src/cockpt.c	npc_communication	npc_communication	004174F0	0043E5DA	WC1-callgraph-propagated		49.02	lt50
src/main.c	house_keep	house_keep	00427D40	0046604F	WC1-manual-verified		52.27	50to90
src/killbrd.c	DecodeShapeFrame	DecodeShapeFrame	00440960	00425618	WC1-order-exact		52.69	50to90
src/brains.c	set_up_action_sphere	set_up_action_sphere	0040BFF0	0044D35D	WC1-manual-verified		54.15	50to90
src/disk.c	set_objects_data	set_objects_data	0041E120	00410999	WC1-callgraph-propagated		54.55	50to90
src/screen.c	GetFreeNearHeapBytes	GetFreeNearHeapBytes	0042F890	00421144	WC1-callgraph-single-low		55.17	50to90
src/screen.c	request	ScanTbl0059ce60FnF3F0	0042F3F0	00421F86	WC1-callgraph-propagated		55.64	50to90
src/brains.c	Mtry2tail	Mtry2tail	00406B60	00441379	WC1-order-exact		56.16	50to90
src/disk.c	rotate_object_to_goal	GetTbl0059c3c0FnE520	0041E520	0041133D	WC1-callgraph-propagated		57.84	50to90
src/logic.c	detect_collisions	detect_collisions	004224F0	004299C9	WC1-callgraph-single		58.76	50to90
src/disk.c	remove_weapon	remove_weapon	0041E040	00410715	WC1-manual-verified		61.38	50to90
src/logic.c	free_3Space_objects	free_3Space_objects	00424BE0	00458716	WC1-manual-verified		61.54	50to90
src/debug.cpp	DebugOverlayPrintf	DebugOverlayPrintf	0041CAB0	0045B0BB	WC1-callgraph-propagated		62.25	50to90
src/logic.c	UpdateTargetCameraTracking	UpdateTargetCameraTracking		004608E8	WC2-only		63.23	50to90
src/geom.c	init_ijk	SetTbl0059bce8Fn8F60	00418F60	0040B41F	WC1-callgraph-propagated		63.24	50to90
src/debug.cpp	DebugOverlayConsole::Clear	DebugOverlayConsole::Clear	0041CC00	0045B2E0	WC1-order-exact		63.41	50to90
src/music.c	servicetrack	servicetrack	0042ECB0	00453240	WC1-fuzzy-very-low		64.00	50to90
src/disk.c	FindCutsceneResourceSymbolIndex	FindCutsceneResourceSymbolIndex		0040D8D7	WC2-only		64.13	50to90
src/music.c	DrawTargetRangeReadout	DrawTargetRangeReadout	0042DEA0	0043FF40	WC1-fuzzy-followup		64.58	50to90
src/screen.c	ExpandCommMessageTokens	DispatchUiFn15C0	004315C0	00448136	WC1-fuzzy-very-low		65.00	50to90
src/gr.c	PrepareShapeRLEData	PrepareShapeRLEData	00440D50	00425BF6	WC1-fuzzy-very-low		65.58	50to90
src/geom.c	get_right_shape	LoadTbl0059dd90FnA610	0041A610	0040CFF8	WC1-callgraph-propagated		65.72	50to90
src/brains.c	general_zig	general_zig	00407270	00441F86	WC1-callgraph-propagated		65.93	50to90
src/screen.c	cleanup_objectives	ScanTbl0046c97aFnEFC0	0042EFC0	00421910	WC1-fuzzy-followup		65.98	50to90
src/cockpt.c	flag_reached	flag_reached	00415530	0043AAFF	WC1-fuzzy-followup		66.01	50to90
src/brains.c	Msplit_left	Msplit_left	00406BD0	0044145A	WC1-order-exact		66.07	50to90
src/brains.c	Msplit_right	Msplit_right	00406C20	0044151B	WC1-order-exact		66.07	50to90
src/hudmsg.c	select_new_release_weapon	select_new_release_weapon	0042AE50	004616B8	WC1-fuzzy-very-low		66.21	50to90
src/disk.c	LinkCutsceneObjectResources	LinkCutsceneObjectResources		0040DE5A	WC2-only		66.38	50to90
src/winmain.c	AllocateGuardedMemory	AllocateGuardedMemory	00402BB0	00455466	WC1-callgraph-propagated		66.67	50to90
src/brains.c	Build_objective_list	Build_objective_list	0040CED0	0044FE9F	WC1-fuzzy-very-low		66.87	50to90
src/screen.c	show_communications_disp	show_communications_disp	00431290	00447E47	WC1-fuzzy-very-low		67.19	50to90
src/system.c	ShowMemoryStatusDebug	ShowMemoryStatusDebug	004273C0	00437AEC	WC1-fuzzy-very-low		67.96	50to90
src/gr.c	CaptureSpriteBackground	LoopLocalFn1450	00441450	00426769	WC1-callgraph-propagated		68.85	50to90
src/brains.c	Mturn_n_kick	Mturn_n_kick	00406910	00440F76	WC1-order-exact		69.23	50to90
src/hudmsg.c	arrive_from_warp	arrive_from_warp	0042A950	00424AEE	WC1-fuzzy-followup		70.13	50to90
src/screens.c	InitializeCutsceneRuntimeResources	InitializeCutsceneRuntimeResources		0042D227	WC2-only		70.16	50to90
src/logic.c	init_formation_burst	init_formation_burst	00422B30	0042A39A	WC1-fuzzy-very-low		70.27	50to90
src/gr.c	RestoreSpriteBackground	LoopUiFn1740	00441740	00426B96	WC1-callgraph-propagated		70.65	50to90
src/smart.c	intelligence_events	intelligence_events	00434A80	0041FF37	WC1-callgraph-propagated		71.37	50to90
src/cockpt.c	ResetScannerContacts	ResetScannerContacts	00415A70	0043B258	WC1-manual-verified		71.43	50to90
src/gr.c	fizzle_fade	fizzle_fade	00442200	00428690	WC1-callgraph-propagated		71.59	50to90
src/cockpt.c	draw_nav_pointer	draw_nav_pointer	004168C0	0043CBFD	WC1-fuzzy-very-low		71.88	50to90
src/debug.cpp	DebugOverlayConsole::Scroll	DebugOverlayConsole::Scroll	0041CC50	0045B348	WC1-callgraph-propagated		72.13	50to90
src/gr.c	GetTransformedShapeBounds	GetTransformedShapeBounds	00442050	004283A4	WC1-fuzzy-very-low		72.20	50to90
src/screens.c	ReleaseCutsceneViewport	ReleaseCutsceneViewport		0042EE86	WC2-only		72.50	50to90
src/disk.c	ReleaseCutsceneObjectResource	ReleaseCutsceneObjectResource		0040EAA4	WC2-only		73.71	50to90
src/logic.c	evaluate_damage	evaluate_damage	00423C00	0042B985	WC1-fuzzy-medium		73.86	50to90
src/logic.c	scan_for_enemy	scan_for_enemy	00422F80	0042A8B5	WC1-fuzzy-very-low		74.16	50to90
src/screens.c	ReleaseLoadedCutsceneResource	ReleaseLoadedCutsceneResource		00433328	WC2-only		74.58	50to90
src/nav.c	SelectNavObjectiveAtPoint	ScanTbl0059c000FnE2B0	0040E2B0	00451C5C	WC1-fuzzy-very-low		74.77	50to90
src/logic.c	try2rout	try2rout	00422780	00429EE0	WC1-fuzzy-followup		75.00	50to90
src/cockpt.c	update_objective_location	update_objective_location	00415770	0043AE2F	WC1-callgraph-propagated		75.00	50to90
src/cdrom.c	FindCdRomDriveByVolumeLabel	FindCdRomDriveByVolumeLabel	00403290	00456236	WC1-fuzzy-medium		75.00	50to90
src/music.c	show_target_disp	show_target_disp	0042DB90	0043FAC0	WC1-fuzzy-very-low		75.34	50to90
src/nav.c	BriefingMap_DisplayMap	BriefingMap_DisplayMap	0040E210	00451B70	WC1-fuzzy-very-low		75.41	50to90
src/nav.c	PlaceNavMapLabel	PlaceNavMapLabel	0040D2C0	00450458	WC1-fuzzy-low		75.66	50to90
src/logic.c	build_target_list	build_target_list	00423440	0042AE32	WC1-manual-verified		76.39	50to90
src/gr.c	DrawFontGlyph	DrawFontGlyph	00441150	004261E5	WC1-fuzzy-low		76.59	50to90
src/ship.c	Create_explosion_debris	Create_explosion_debris	0041F800	00413A3B	WC1-order-semantics-verified		76.74	50to90
src/cockpt.c	check_target	check_target	00416FD0	0043DDFC	WC1-callgraph-propagated		77.16	50to90
src/brains.c	cruise_home	cruise_home	00409760	00442770	WC1-fuzzy-very-low		78.06	50to90
src/disk.c	celerate	celerate	0041E710	004117AC	WC1-callgraph-propagated		80.00	50to90
src/disk.c	steady_object	steady_object	0041E7C0	004118A9	WC1-manual-verified		80.00	50to90
src/cockpt.c	animate_pilot	animate_pilot	004173C0	0043E43A	WC1-fuzzy-followup		80.00	50to90
src/mathfp.c	RandomBelowOrEqual	RandomBelowOrEqual	00434D50	004619A1	WC1-fuzzy-medium		80.00	50to90
src/brains.c	prepare_for_jump	prepare_for_jump	0040A540	00443C45	WC1-fuzzy-low		80.23	50to90
src/debug.cpp	DebugOverlayConsole::DrawPendingLines	DebugOverlayConsole::DrawPendingLines	0041CCC0	0045B3DC	WC1-callgraph-propagated		80.30	50to90
src/screen.c	PushMemoryStackFrame	PushMemoryStackFrame	0042F960	00458E49	WC1-fuzzy-medium		80.36	50to90
src/mathfp.c	GetShapeFrameBounds	GetShapeFrameBounds	00435020	00461DF0	WC1-fuzzy-medium		80.70	50to90
src/debug.cpp	DebugOverlayConsole::DebugOverlayConsole	DebugOverlayConsole::DebugOverlayConsole	0041C760	0045AC50	WC1-callgraph-propagated		80.95	50to90
src/ship.c	score_for_kill	score_for_kill	0041FA90	00413E4C	WC1-fuzzy-followup		81.13	50to90
src/ship.c	ShipExplosion	ShipExplosion	0041FBC0	004142C8	WC1-order-callgraph-verified		81.13	50to90
src/nav.c	AllocateNearHeapBlockFromEnd	AllocateNearHeapBlockFromEnd	0040EB70	00420B88	WC1-fuzzy-low		81.22	50to90
src/nav.c	AllocateNearHeapBlockByFlags	AllocateNearHeapBlockByFlags	0040ED30	00420E16	WC1-fuzzy-low		81.28	50to90
src/eventmgr.c	ClearInputKeyStatePreservingModifiers	ClearInputKeyStatePreservingModifiers	004363A0	0046428B	WC1-order-semantics-verified		81.48	50to90
src/hudmsg.c	ShowModalMessage	ShowModalMessage	00428F20	00437C2E	WC1-callgraph-transfer		82.05	50to90
src/screens.c	DrawCutsceneSprite	DrawCutsceneSprite		0042DA25	WC2-only		82.26	50to90
src/gr.c	GetViewportPixel	GetViewportPixel	00441B60	004271D2	WC1-auto-vt		82.35	50to90
src/eventmgr.c	QueueInputEventAtCursor	QueueInputEventAtCursor	004356A0	00462849	WC1-callgraph-propagated		82.35	50to90
src/hudmsg.c	find_objective	find_objective	0042A8F0	00424A60	WC2-manual-verified		82.50	50to90
src/brains.c	patrol_area	patrol_area	0040A1C0	00443707	WC1-fuzzy-followup		82.50	50to90
src/disk.c	DecodeCutsceneObjectResource	DecodeCutsceneObjectResource		0040E726	WC2-only		82.86	50to90
src/nav.c	BuildMap	BuildMap	0040DA00	00450FE2	WC1-fuzzy-followup		82.99	50to90
src/dib.c	DIBcascade	DIBcascade	00432410	0045D3A1	WC1-fuzzy-followup		83.03	50to90
src/music.c	RecordMusicCommandHook	RecordMusicCommandHook		00402258	WC2-only		83.33	50to90
src/gr.c	TriangleRasterizerHook	TriangleRasterizerHook	00441BF0	004272A5	WC1-manual-verified		83.33	50to90
src/cockpt.c	vdu_pop_all	vdu_pop_all	00417F10	0043F862	WC1-fuzzy-followup		83.33	50to90
src/music.c	SceneLeaveHook	GameNoBodyStubv9	0042E3E0	00452AF0	WC1-callgraph-single-low		83.33	50to90
